winner,descriptor,n,median,q25,q75
hgb_better,hgb_minus_seasonal_wape,11,-3.3372202647401963,-17.344996527645446,-0.8482218609858916
hgb_better,trailing_mean,11,4990.466589861751,4447.467741935484,5133.2361751152075
hgb_better,trailing_sd,11,5129.921748560034,4930.495744204138,5162.801579590103
hgb_better,test_mean,11,5069.687788018433,4775.664170506912,5133.2361751152075
hgb_better,test_sd,11,5129.921748560034,5120.84200107753,5162.801579590103
hgb_better,trailing_cv,11,1.0626868917447394,1.0089987139223051,1.093014126272255
hgb_better,test_cv,11,1.0187311930874314,1.0081828303131903,1.0703282115141128
hgb_better,test_to_trailing_mean_ratio,11,1.02847751447348,0.9773762071697527,1.0906733973000726
hgb_better,trailing_zero_fraction,11,0.1152073732718894,0.09158986175115208,0.13421658986175117
hgb_better,test_zero_fraction,11,0.10023041474654378,0.09101382488479262,0.12442396313364056
hgb_better,standardized_first_week_shift,11,0.013834245869607903,-0.12323285128664463,0.128975171622759
hgb_better,relative_full_test_shift,11,0.028477514473479935,-0.02262379283024722,0.09067339730007262
hgb_better,hgb_better_geography_fraction,11,0.9354838709677419,0.8064516129032258,1.0
hgb_better,median_geo_wape_diff,11,-3.508290555476645,-18.826854861301097,-1.1383301185080712
hgb_better,max_geo_wape_diff,11,2.3612786142808044,-3.0861855597731798,7.345524183431212
hgb_better,min_geo_wape_diff,11,-11.030966973320453,-32.467692987163545,-4.693050751990971
seasonal_better,hgb_minus_seasonal_wape,8,4.103522457593548,0.7796117604668387,10.104033169952947
seasonal_better,trailing_mean,8,4775.664170506912,4668.419642857143,4887.040322580646
seasonal_better,trailing_sd,8,5108.801240718971,4949.425135309251,5131.103935457794
seasonal_better,test_mean,8,4651.704493087558,4540.815092165899,4867.235023041475
seasonal_better,test_sd,8,4930.719869732286,4854.658177561074,5106.261363609994
seasonal_better,trailing_cv,8,1.0434931531890819,1.0165672440643125,1.0723833551982445
seasonal_better,test_cv,8,1.0652069347933462,1.0165672440643125,1.085973909165825
seasonal_better,test_to_trailing_mean_ratio,8,0.9688752868247076,0.9364860003887809,1.0470325579695692
seasonal_better,trailing_zero_fraction,8,0.11232718894009217,0.10282258064516128,0.125
seasonal_better,test_zero_fraction,8,0.11923963133640553,0.10627880184331796,0.12903225806451613
seasonal_better,standardized_first_week_shift,8,-0.021655992545970552,-0.04387631134849502,0.07904535524404759
seasonal_better,relative_full_test_shift,8,-0.0311247131752925,-0.063513999611219,0.04703255796956923
seasonal_better,hgb_better_geography_fraction,8,0.20967741935483872,0.0,0.5241935483870968
seasonal_better,median_geo_wape_diff,8,3.468929337629249,-0.04304197626116402,8.917267012056348
seasonal_better,max_geo_wape_diff,8,14.82900587536692,10.111329191936955,17.723449297161807
seasonal_better,min_geo_wape_diff,8,-1.1558555695935264,-8.591173543095438,3.429447254066459
